<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.09.13	1.58068	1.58844	1.57761	1.58729	34704	0	1
2013.09.16	1.59318	1.59626	1.58943	1.58965	35292	0	1
2013.09.17	1.58966	1.59358	1.58857	1.59061	35410	0	1
2013.09.18	1.59061	1.61624	1.58922	1.61338	41207	0	1
2013.09.19	1.61342	1.61467	1.60225	1.60291	45880	0	1
2013.09.20	1.60291	1.60665	1.59864	1.60016	36219	0	1
2013.09.23	1.59987	1.60720	1.59978	1.60408	39003	0	1
2013.09.24	1.60408	1.60435	1.59550	1.60009	37154	0	1
2013.09.25	1.60013	1.60877	1.59792	1.60772	36698	0	1
2013.09.26	1.60773	1.60959	1.59992	1.60373	35510	0	1
2013.09.27	1.60374	1.61466	1.60296	1.61366	35529	0	1
2013.09.30	1.61419	1.62024	1.61280	1.61837	39375	0	1
2013.10.01	1.61838	1.62599	1.61823	1.61905	42342	0	1
2013.10.02	1.61905	1.62502	1.61623	1.62289	38093	0	1
2013.10.03	1.62288	1.62405	1.61540	1.61581	38181	0	1
2013.10.04	1.61582	1.61775	1.60054	1.60055	37554	0	1
2013.10.07	1.60253	1.60995	1.60251	1.60884	35365	0	1
2013.10.08	1.60884	1.61237	1.60196	1.60831	34638	0	1
2013.10.09	1.60831	1.61209	1.59160	1.59522	39281	0	1
2013.10.10	1.59528	1.59783	1.59137	1.59712	33045	0	1
2013.10.11	1.59712	1.60015	1.59233	1.59459	30855	0	1
2013.10.14	1.59668	1.60179	1.59541	1.59801	26001	0	1
2013.10.15	1.59799	1.60086	1.59149	1.59965	35725	0	1
2013.10.16	1.59964	1.60578	1.58938	1.59550	37951	0	1
2013.10.17	1.59553	1.61718	1.59398	1.61602	42594	0	1
2013.10.18	1.61607	1.62247	1.61416	1.61638	30775	0	1
2013.10.21	1.61712	1.61806	1.61320	1.61429	25818	0	1
2013.10.22	1.61444	1.62476	1.61154	1.62293	30973	0	1
2013.10.23	1.62289	1.62562	1.61196	1.61642	36120	0	1
2013.10.24	1.61638	1.62226	1.61374	1.62010	39337	0	1
2013.10.25	1.62013	1.62467	1.61502	1.61619	37280	0	1
2013.10.28	1.61729	1.62079	1.61242	1.61364	31358	0	1
2013.10.29	1.61364	1.61439	1.60234	1.60508	40785	0	1
2013.10.30	1.60504	1.60779	1.59984	1.60264	38189	0	1
2013.10.31	1.60270	1.60683	1.60056	1.60427	43881	0	1
2013.11.01	1.60429	1.60462	1.59086	1.59214	39196	0	1
2013.11.04	1.59270	1.59782	1.59032	1.59636	26333	0	1
2013.11.05	1.59637	1.60624	1.59482	1.60454	37535	0	1
2013.11.06	1.60458	1.61175	1.60414	1.60812	33053	0	1
2013.11.07	1.60812	1.61136	1.60096	1.60942	44614	0	1
2013.11.08	1.60940	1.61047	1.59569	1.60126	40773	0	1
2013.11.11	1.60072	1.60215	1.59653	1.59867	31687	0	1
2013.11.12	1.59870	1.59921	1.58539	1.58952	39888	0	1
2013.11.13	1.58949	1.60673	1.58779	1.60414	42358	0	1
2013.11.14	1.60418	1.61010	1.59885	1.60617	43702	0	1
2013.11.15	1.60615	1.61340	1.60481	1.61142	34090	0	1
2013.11.18	1.61197	1.61484	1.60814	1.61091	34137	0	1
